trials,size,time
4100, 140000, 0.009546944000248914
4200, 140000, 0.00969183699999121
4300, 140000, 0.010166964999825723
4400, 140000, 0.01028281800017794
4500, 140000, 0.010449794000123802
4600, 140000, 0.0106530359998942
4700, 140000, 0.010993412000061653
4800, 140000, 0.011255392999828473
4900, 140000, 0.011392064000119717
5000, 140000, 0.011652186999981495
5100, 140000, 0.012107543999718473
5200, 140000, 0.012159920000158309
5300, 140000, 0.012478285000270262
5400, 140000, 0.012497262000124465
5500, 140000, 0.013335684999674413
5600, 140000, 0.012987100999907852
5700, 140000, 0.013662231000125757
5800, 140000, 0.013481526000305166
5900, 140000, 0.01368576100003338
6000, 140000, 0.014029311000285816
6100, 140000, 0.014215882999906171
6200, 140000, 0.014439898999626166
6300, 140000, 0.014827301999957854
6400, 140000, 0.014846040999600518
6500, 140000, 0.014998090000062803
6600, 140000, 0.015665774999888527
6700, 140000, 0.01582587799975954
6800, 140000, 0.016374716999962402
6900, 140000, 0.016128273000049376
7000, 140000, 0.01637167499984571
7100, 140000, 0.01648463299989089
7200, 140000, 0.01680926700009877
7300, 140000, 0.016943530000389728
7400, 140000, 0.0171677059997819
7500, 140000, 0.017375023000113288
7600, 140000, 0.017588280999916606
7700, 140000, 0.017864415000076406
7800, 140000, 0.018945891000385018
7900, 140000, 0.0190552909998587
8000, 140000, 0.0186936479999531
8100, 140000, 0.019180133000190835
8200, 140000, 0.019503165999594785
8300, 140000, 0.019784464999702323
8400, 140000, 0.0206256889996439
8500, 140000, 0.020991033999962383
8600, 140000, 0.02106241899991801
8700, 140000, 0.02103115499994601
8800, 140000, 0.021837660999608488
8900, 140000, 0.020639627000036853
9000, 140000, 0.02102276100004019
9100, 140000, 0.021578733999831456
9200, 140000, 0.021791502000269247
9300, 140000, 0.022067487000185793
9400, 140000, 0.022306704000129685
9500, 140000, 0.02425575500001287
9600, 140000, 0.02382102699993993
9700, 140000, 0.02354363899985401
9800, 140000, 0.02277979200016489
9900, 140000, 0.023412864999954763
1000, 150000, 0.0023327860003519163
1100, 150000, 0.0025443110002925096
1200, 150000, 0.002778781999950297
1300, 150000, 0.0033055290000447712
1400, 150000, 0.0032634000003781694
1500, 150000, 0.003695034999964264
1600, 150000, 0.0037407830000120157
1700, 150000, 0.004125724999994418
1800, 150000, 0.004204130999823974
1900, 150000, 0.0045073340002090845
2000, 150000, 0.004771653999796399
2100, 150000, 0.004839310000079422
2200, 150000, 0.0051707390002775355
2300, 150000, 0.005324190000010276
2400, 150000, 0.0055892749996928615
2500, 150000, 0.006036173999746097
2600, 150000, 0.0060567010000340815
2700, 150000, 0.006275968999943871
2800, 150000, 0.0066754329996001616
2900, 150000, 0.006747700000232726
3000, 150000, 0.007989456999894173
3100, 150000, 0.007199753000350029
3200, 150000, 0.007690361000186385
3300, 150000, 0.007756634000088525
3400, 150000, 0.007944256999962818
3500, 150000, 0.008433851000063441
3600, 150000, 0.008570892999614443
3700, 150000, 0.008741420000205835
3800, 150000, 0.00961633500037351
3900, 150000, 0.00914452299957702
4000, 150000, 0.00952719699989757
4100, 150000, 0.009611113000119076
4200, 150000, 0.009737463999954343
4300, 150000, 0.010130114999810758
4400, 150000, 0.0105808939997587
4500, 150000, 0.010640683000019635
4600, 150000, 0.011025784000139538
4700, 150000, 0.011019945000043663
4800, 150000, 0.011310569000215764
4900, 150000, 0.011432466999849566
5000, 150000, 0.011782918999870162
5100, 150000, 0.011918778000108432
5200, 150000, 0.012337839999872813
5300, 150000, 0.012561744000322506
5400, 150000, 0.012527533000138646
5500, 150000, 0.01270470400004342
5600, 150000, 0.013154198999927758
5700, 150000, 0.013530705999983184
5800, 150000, 0.013629373000185296
5900, 150000, 0.013865795000128855
6000, 150000, 0.014308568000160449
6100, 150000, 0.014077672999974311
6200, 150000, 0.014402211000287934
6300, 150000, 0.014605109000058292
6400, 150000, 0.016345846999684
6500, 150000, 0.01571608499989452
6600, 150000, 0.015948115999890433
6700, 150000, 0.01658083899974372
6800, 150000, 0.017021211000155745
6900, 150000, 0.01669527600006404
7000, 150000, 0.016831195000122534
7100, 150000, 0.01716877699982433
7200, 150000, 0.016639263999877585
7300, 150000, 0.0168819440000334
7400, 150000, 0.017327172000022983
7500, 150000, 0.01834994699993331
7600, 150000, 0.017800665000322624
7700, 150000, 0.018121242999768583
7800, 150000, 0.018797860999711702
7900, 150000, 0.018852322000384447
8000, 150000, 0.01934103099983986
8100, 150000, 0.02013056499981758
8200, 150000, 0.01941024899997501
8300, 150000, 0.019802646999778517
8400, 150000, 0.019655144999887852
